date_text,date,week ending friday,week ending thursday,week ending wednesday,week ending tuesday,week ending monday,week ending sunday,week ending saturday
"Friday, 24 July 2020",2020-07-24,2020-07-24,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-07-25
"Saturday, 25 July 2020",2020-07-25,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-07-25
"Sunday, 26 July 2020",2020-07-26,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-26,2020-08-01
"Monday, 27 July 2020",2020-07-27,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-08-02,2020-08-01
"Tuesday, 28 July 2020",2020-07-28,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-08-03,2020-08-02,2020-08-01
"Wednesday, 29 July 2020",2020-07-29,2020-07-31,2020-07-30,2020-07-29,2020-08-04,2020-08-03,2020-08-02,2020-08-01
"Thursday, 30 July 2020",2020-07-30,2020-07-31,2020-07-30,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-01
"Friday, 31 July 2020",2020-07-31,2020-07-31,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-01
"Saturday, 1 August 2020",2020-08-01,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-01
"Sunday, 2 August 2020",2020-08-02,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-02,2020-08-08
"Monday, 3 August 2020",2020-08-03,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-08-09,2020-08-08
"Tuesday, 4 August 2020",2020-08-04,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-10,2020-08-09,2020-08-08
"Wednesday, 5 August 2020",2020-08-05,2020-08-07,2020-08-06,2020-08-05,2020-08-11,2020-08-10,2020-08-09,2020-08-08
"Thursday, 6 August 2020",2020-08-06,2020-08-07,2020-08-06,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-08
"Friday, 7 August 2020",2020-08-07,2020-08-07,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-08
"Saturday, 8 August 2020",2020-08-08,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-08
"Sunday, 9 August 2020",2020-08-09,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-09,2020-08-15
"Monday, 10 August 2020",2020-08-10,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-10,2020-08-16,2020-08-15
"Tuesday, 11 August 2020",2020-08-11,2020-08-14,2020-08-13,2020-08-12,2020-08-11,2020-08-17,2020-08-16,2020-08-15
"Wednesday, 12 August 2020",2020-08-12,2020-08-14,2020-08-13,2020-08-12,2020-08-18,2020-08-17,2020-08-16,2020-08-15
"Thursday, 13 August 2020",2020-08-13,2020-08-14,2020-08-13,2020-08-19,2020-08-18,2020-08-17,2020-08-16,2020-08-15
"Friday, 14 August 2020",2020-08-14,2020-08-14,2020-08-20,2020-08-19,2020-08-18,2020-08-17,2020-08-16,2020-08-15
"Saturday, 15 August 2020",2020-08-15,2020-08-21,2020-08-20,2020-08-19,2020-08-18,2020-08-17,2020-08-16,2020-08-15
"Sunday, 16 August 2020",2020-08-16,2020-08-21,2020-08-20,2020-08-19,2020-08-18,2020-08-17,2020-08-16,2020-08-22
"Monday, 17 August 2020",2020-08-17,2020-08-21,2020-08-20,2020-08-19,2020-08-18,2020-08-17,2020-08-23,2020-08-22
"Tuesday, 18 August 2020",2020-08-18,2020-08-21,2020-08-20,2020-08-19,2020-08-18,2020-08-24,2020-08-23,2020-08-22
"Wednesday, 19 August 2020",2020-08-19,2020-08-21,2020-08-20,2020-08-19,2020-08-25,2020-08-24,2020-08-23,2020-08-22
"Thursday, 20 August 2020",2020-08-20,2020-08-21,2020-08-20,2020-08-26,2020-08-25,2020-08-24,2020-08-23,2020-08-22
"Friday, 21 August 2020",2020-08-21,2020-08-21,2020-08-27,2020-08-26,2020-08-25,2020-08-24,2020-08-23,2020-08-22
"Saturday, 22 August 2020",2020-08-22,2020-08-28,2020-08-27,2020-08-26,2020-08-25,2020-08-24,2020-08-23,2020-08-22
"Sunday, 23 August 2020",2020-08-23,2020-08-28,2020-08-27,2020-08-26,2020-08-25,2020-08-24,2020-08-23,2020-08-29
"Monday, 24 August 2020",2020-08-24,2020-08-28,2020-08-27,2020-08-26,2020-08-25,2020-08-24,2020-08-30,2020-08-29
"Tuesday, 25 August 2020",2020-08-25,2020-08-28,2020-08-27,2020-08-26,2020-08-25,2020-08-31,2020-08-30,2020-08-29
"Wednesday, 26 August 2020",2020-08-26,2020-08-28,2020-08-27,2020-08-26,2020-09-01,2020-08-31,2020-08-30,2020-08-29
"Thursday, 27 August 2020",2020-08-27,2020-08-28,2020-08-27,2020-09-02,2020-09-01,2020-08-31,2020-08-30,2020-08-29
"Friday, 28 August 2020",2020-08-28,2020-08-28,2020-09-03,2020-09-02,2020-09-01,2020-08-31,2020-08-30,2020-08-29
"Saturday, 29 August 2020",2020-08-29,2020-09-04,2020-09-03,2020-09-02,2020-09-01,2020-08-31,2020-08-30,2020-08-29
"Sunday, 30 August 2020",2020-08-30,2020-09-04,2020-09-03,2020-09-02,2020-09-01,2020-08-31,2020-08-30,2020-09-05
"Monday, 31 August 2020",2020-08-31,2020-09-04,2020-09-03,2020-09-02,2020-09-01,2020-08-31,2020-09-06,2020-09-05
"Tuesday, 1 September 2020",2020-09-01,2020-09-04,2020-09-03,2020-09-02,2020-09-01,2020-09-07,2020-09-06,2020-09-05
"Wednesday, 2 September 2020",2020-09-02,2020-09-04,2020-09-03,2020-09-02,2020-09-08,2020-09-07,2020-09-06,2020-09-05
"Thursday, 3 September 2020",2020-09-03,2020-09-04,2020-09-03,2020-09-09,2020-09-08,2020-09-07,2020-09-06,2020-09-05
"Friday, 4 September 2020",2020-09-04,2020-09-04,2020-09-10,2020-09-09,2020-09-08,2020-09-07,2020-09-06,2020-09-05
"Saturday, 5 September 2020",2020-09-05,2020-09-11,2020-09-10,2020-09-09,2020-09-08,2020-09-07,2020-09-06,2020-09-05
"Sunday, 6 September 2020",2020-09-06,2020-09-11,2020-09-10,2020-09-09,2020-09-08,2020-09-07,2020-09-06,2020-09-12
"Monday, 7 September 2020",2020-09-07,2020-09-11,2020-09-10,2020-09-09,2020-09-08,2020-09-07,2020-09-13,2020-09-12
"Tuesday, 8 September 2020",2020-09-08,2020-09-11,2020-09-10,2020-09-09,2020-09-08,2020-09-14,2020-09-13,2020-09-12
"Wednesday, 9 September 2020",2020-09-09,2020-09-11,2020-09-10,2020-09-09,2020-09-15,2020-09-14,2020-09-13,2020-09-12
"Thursday, 10 September 2020",2020-09-10,2020-09-11,2020-09-10,2020-09-16,2020-09-15,2020-09-14,2020-09-13,2020-09-12
"Friday, 11 September 2020",2020-09-11,2020-09-11,2020-09-17,2020-09-16,2020-09-15,2020-09-14,2020-09-13,2020-09-12
"Saturday, 12 September 2020",2020-09-12,2020-09-18,2020-09-17,2020-09-16,2020-09-15,2020-09-14,2020-09-13,2020-09-12
"Sunday, 13 September 2020",2020-09-13,2020-09-18,2020-09-17,2020-09-16,2020-09-15,2020-09-14,2020-09-13,2020-09-19
"Monday, 14 September 2020",2020-09-14,2020-09-18,2020-09-17,2020-09-16,2020-09-15,2020-09-14,2020-09-20,2020-09-19
"Tuesday, 15 September 2020",2020-09-15,2020-09-18,2020-09-17,2020-09-16,2020-09-15,2020-09-21,2020-09-20,2020-09-19
"Wednesday, 16 September 2020",2020-09-16,2020-09-18,2020-09-17,2020-09-16,2020-09-22,2020-09-21,2020-09-20,2020-09-19
"Thursday, 17 September 2020",2020-09-17,2020-09-18,2020-09-17,2020-09-23,2020-09-22,2020-09-21,2020-09-20,2020-09-19
"Friday, 18 September 2020",2020-09-18,2020-09-18,2020-09-24,2020-09-23,2020-09-22,2020-09-21,2020-09-20,2020-09-19
"Saturday, 19 September 2020",2020-09-19,2020-09-25,2020-09-24,2020-09-23,2020-09-22,2020-09-21,2020-09-20,2020-09-19
"Sunday, 20 September 2020",2020-09-20,2020-09-25,2020-09-24,2020-09-23,2020-09-22,2020-09-21,2020-09-20,2020-09-26
"Monday, 21 September 2020",2020-09-21,2020-09-25,2020-09-24,2020-09-23,2020-09-22,2020-09-21,2020-09-27,2020-09-26
"Tuesday, 22 September 2020",2020-09-22,2020-09-25,2020-09-24,2020-09-23,2020-09-22,2020-09-28,2020-09-27,2020-09-26
"Wednesday, 23 September 2020",2020-09-23,2020-09-25,2020-09-24,2020-09-23,2020-09-29,2020-09-28,2020-09-27,2020-09-26
"Thursday, 24 September 2020",2020-09-24,2020-09-25,2020-09-24,2020-09-30,2020-09-29,2020-09-28,2020-09-27,2020-09-26
"Friday, 25 September 2020",2020-09-25,2020-09-25,2020-10-01,2020-09-30,2020-09-29,2020-09-28,2020-09-27,2020-09-26
"Saturday, 26 September 2020",2020-09-26,2020-10-02,2020-10-01,2020-09-30,2020-09-29,2020-09-28,2020-09-27,2020-09-26
"Sunday, 27 September 2020",2020-09-27,2020-10-02,2020-10-01,2020-09-30,2020-09-29,2020-09-28,2020-09-27,2020-10-03
"Monday, 28 September 2020",2020-09-28,2020-10-02,2020-10-01,2020-09-30,2020-09-29,2020-09-28,2020-10-04,2020-10-03
"Tuesday, 29 September 2020",2020-09-29,2020-10-02,2020-10-01,2020-09-30,2020-09-29,2020-10-05,2020-10-04,2020-10-03
"Wednesday, 30 September 2020",2020-09-30,2020-10-02,2020-10-01,2020-09-30,2020-10-06,2020-10-05,2020-10-04,2020-10-03
"Thursday, 1 October 2020",2020-10-01,2020-10-02,2020-10-01,2020-10-07,2020-10-06,2020-10-05,2020-10-04,2020-10-03
"Friday, 2 October 2020",2020-10-02,2020-10-02,2020-10-08,2020-10-07,2020-10-06,2020-10-05,2020-10-04,2020-10-03
"Saturday, 3 October 2020",2020-10-03,2020-10-09,2020-10-08,2020-10-07,2020-10-06,2020-10-05,2020-10-04,2020-10-03
"Sunday, 4 October 2020",2020-10-04,2020-10-09,2020-10-08,2020-10-07,2020-10-06,2020-10-05,2020-10-04,2020-10-10
"Monday, 5 October 2020",2020-10-05,2020-10-09,2020-10-08,2020-10-07,2020-10-06,2020-10-05,2020-10-11,2020-10-10
"Tuesday, 6 October 2020",2020-10-06,2020-10-09,2020-10-08,2020-10-07,2020-10-06,2020-10-12,2020-10-11,2020-10-10
"Wednesday, 7 October 2020",2020-10-07,2020-10-09,2020-10-08,2020-10-07,2020-10-13,2020-10-12,2020-10-11,2020-10-10
"Thursday, 8 October 2020",2020-10-08,2020-10-09,2020-10-08,2020-10-14,2020-10-13,2020-10-12,2020-10-11,2020-10-10
"Friday, 9 October 2020",2020-10-09,2020-10-09,2020-10-15,2020-10-14,2020-10-13,2020-10-12,2020-10-11,2020-10-10
"Saturday, 10 October 2020",2020-10-10,2020-10-16,2020-10-15,2020-10-14,2020-10-13,2020-10-12,2020-10-11,2020-10-10
"Sunday, 11 October 2020",2020-10-11,2020-10-16,2020-10-15,2020-10-14,2020-10-13,2020-10-12,2020-10-11,2020-10-17
"Monday, 12 October 2020",2020-10-12,2020-10-16,2020-10-15,2020-10-14,2020-10-13,2020-10-12,2020-10-18,2020-10-17
"Tuesday, 13 October 2020",2020-10-13,2020-10-16,2020-10-15,2020-10-14,2020-10-13,2020-10-19,2020-10-18,2020-10-17
"Wednesday, 14 October 2020",2020-10-14,2020-10-16,2020-10-15,2020-10-14,2020-10-20,2020-10-19,2020-10-18,2020-10-17
"Thursday, 15 October 2020",2020-10-15,2020-10-16,2020-10-15,2020-10-21,2020-10-20,2020-10-19,2020-10-18,2020-10-17
"Friday, 16 October 2020",2020-10-16,2020-10-16,2020-10-22,2020-10-21,2020-10-20,2020-10-19,2020-10-18,2020-10-17
"Saturday, 17 October 2020",2020-10-17,2020-10-23,2020-10-22,2020-10-21,2020-10-20,2020-10-19,2020-10-18,2020-10-17
"Sunday, 18 October 2020",2020-10-18,2020-10-23,2020-10-22,2020-10-21,2020-10-20,2020-10-19,2020-10-18,2020-10-24
"Monday, 19 October 2020",2020-10-19,2020-10-23,2020-10-22,2020-10-21,2020-10-20,2020-10-19,2020-10-25,2020-10-24
"Tuesday, 20 October 2020",2020-10-20,2020-10-23,2020-10-22,2020-10-21,2020-10-20,2020-10-26,2020-10-25,2020-10-24
"Wednesday, 21 October 2020",2020-10-21,2020-10-23,2020-10-22,2020-10-21,2020-10-27,2020-10-26,2020-10-25,2020-10-24
"Thursday, 22 October 2020",2020-10-22,2020-10-23,2020-10-22,2020-10-28,2020-10-27,2020-10-26,2020-10-25,2020-10-24
"Friday, 23 October 2020",2020-10-23,2020-10-23,2020-10-29,2020-10-28,2020-10-27,2020-10-26,2020-10-25,2020-10-24
"Saturday, 24 October 2020",2020-10-24,2020-10-30,2020-10-29,2020-10-28,2020-10-27,2020-10-26,2020-10-25,2020-10-24
"Sunday, 25 October 2020",2020-10-25,2020-10-30,2020-10-29,2020-10-28,2020-10-27,2020-10-26,2020-10-25,2020-10-31
"Monday, 26 October 2020",2020-10-26,2020-10-30,2020-10-29,2020-10-28,2020-10-27,2020-10-26,2020-11-01,2020-10-31
"Tuesday, 27 October 2020",2020-10-27,2020-10-30,2020-10-29,2020-10-28,2020-10-27,2020-11-02,2020-11-01,2020-10-31
"Wednesday, 28 October 2020",2020-10-28,2020-10-30,2020-10-29,2020-10-28,2020-11-03,2020-11-02,2020-11-01,2020-10-31
"Thursday, 29 October 2020",2020-10-29,2020-10-30,2020-10-29,2020-11-04,2020-11-03,2020-11-02,2020-11-01,2020-10-31
"Friday, 30 October 2020",2020-10-30,2020-10-30,2020-11-05,2020-11-04,2020-11-03,2020-11-02,2020-11-01,2020-10-31
"Saturday, 31 October 2020",2020-10-31,2020-11-06,2020-11-05,2020-11-04,2020-11-03,2020-11-02,2020-11-01,2020-10-31
"Sunday, 1 November 2020",2020-11-01,2020-11-06,2020-11-05,2020-11-04,2020-11-03,2020-11-02,2020-11-01,2020-11-07
"Monday, 2 November 2020",2020-11-02,2020-11-06,2020-11-05,2020-11-04,2020-11-03,2020-11-02,2020-11-08,2020-11-07
"Tuesday, 3 November 2020",2020-11-03,2020-11-06,2020-11-05,2020-11-04,2020-11-03,2020-11-09,2020-11-08,2020-11-07
"Wednesday, 4 November 2020",2020-11-04,2020-11-06,2020-11-05,2020-11-04,2020-11-10,2020-11-09,2020-11-08,2020-11-07
"Thursday, 5 November 2020",2020-11-05,2020-11-06,2020-11-05,2020-11-11,2020-11-10,2020-11-09,2020-11-08,2020-11-07
"Friday, 6 November 2020",2020-11-06,2020-11-06,2020-11-12,2020-11-11,2020-11-10,2020-11-09,2020-11-08,2020-11-07
"Saturday, 7 November 2020",2020-11-07,2020-11-13,2020-11-12,2020-11-11,2020-11-10,2020-11-09,2020-11-08,2020-11-07
"Sunday, 8 November 2020",2020-11-08,2020-11-13,2020-11-12,2020-11-11,2020-11-10,2020-11-09,2020-11-08,2020-11-14
"Monday, 9 November 2020",2020-11-09,2020-11-13,2020-11-12,2020-11-11,2020-11-10,2020-11-09,2020-11-15,2020-11-14
"Tuesday, 10 November 2020",2020-11-10,2020-11-13,2020-11-12,2020-11-11,2020-11-10,2020-11-16,2020-11-15,2020-11-14
"Wednesday, 11 November 2020",2020-11-11,2020-11-13,2020-11-12,2020-11-11,2020-11-17,2020-11-16,2020-11-15,2020-11-14
"Thursday, 12 November 2020",2020-11-12,2020-11-13,2020-11-12,2020-11-18,2020-11-17,2020-11-16,2020-11-15,2020-11-14
"Friday, 13 November 2020",2020-11-13,2020-11-13,2020-11-19,2020-11-18,2020-11-17,2020-11-16,2020-11-15,2020-11-14
"Saturday, 14 November 2020",2020-11-14,2020-11-20,2020-11-19,2020-11-18,2020-11-17,2020-11-16,2020-11-15,2020-11-14
"Sunday, 15 November 2020",2020-11-15,2020-11-20,2020-11-19,2020-11-18,2020-11-17,2020-11-16,2020-11-15,2020-11-21
"Monday, 16 November 2020",2020-11-16,2020-11-20,2020-11-19,2020-11-18,2020-11-17,2020-11-16,2020-11-22,2020-11-21
"Tuesday, 17 November 2020",2020-11-17,2020-11-20,2020-11-19,2020-11-18,2020-11-17,2020-11-23,2020-11-22,2020-11-21
"Wednesday, 18 November 2020",2020-11-18,2020-11-20,2020-11-19,2020-11-18,2020-11-24,2020-11-23,2020-11-22,2020-11-21
"Thursday, 19 November 2020",2020-11-19,2020-11-20,2020-11-19,2020-11-25,2020-11-24,2020-11-23,2020-11-22,2020-11-21
"Friday, 20 November 2020",2020-11-20,2020-11-20,2020-11-26,2020-11-25,2020-11-24,2020-11-23,2020-11-22,2020-11-21
"Saturday, 21 November 2020",2020-11-21,2020-11-27,2020-11-26,2020-11-25,2020-11-24,2020-11-23,2020-11-22,2020-11-21
"Sunday, 22 November 2020",2020-11-22,2020-11-27,2020-11-26,2020-11-25,2020-11-24,2020-11-23,2020-11-22,2020-11-28
"Monday, 23 November 2020",2020-11-23,2020-11-27,2020-11-26,2020-11-25,2020-11-24,2020-11-23,2020-11-29,2020-11-28
"Tuesday, 24 November 2020",2020-11-24,2020-11-27,2020-11-26,2020-11-25,2020-11-24,2020-11-30,2020-11-29,2020-11-28
"Wednesday, 25 November 2020",2020-11-25,2020-11-27,2020-11-26,2020-11-25,2020-12-01,2020-11-30,2020-11-29,2020-11-28
"Thursday, 26 November 2020",2020-11-26,2020-11-27,2020-11-26,2020-12-02,2020-12-01,2020-11-30,2020-11-29,2020-11-28
"Friday, 27 November 2020",2020-11-27,2020-11-27,2020-12-03,2020-12-02,2020-12-01,2020-11-30,2020-11-29,2020-11-28
"Saturday, 28 November 2020",2020-11-28,2020-12-04,2020-12-03,2020-12-02,2020-12-01,2020-11-30,2020-11-29,2020-11-28
"Sunday, 29 November 2020",2020-11-29,2020-12-04,2020-12-03,2020-12-02,2020-12-01,2020-11-30,2020-11-29,2020-12-05
"Monday, 30 November 2020",2020-11-30,2020-12-04,2020-12-03,2020-12-02,2020-12-01,2020-11-30,2020-12-06,2020-12-05
"Tuesday, 1 December 2020",2020-12-01,2020-12-04,2020-12-03,2020-12-02,2020-12-01,2020-12-07,2020-12-06,2020-12-05
"Wednesday, 2 December 2020",2020-12-02,2020-12-04,2020-12-03,2020-12-02,2020-12-08,2020-12-07,2020-12-06,2020-12-05
"Thursday, 3 December 2020",2020-12-03,2020-12-04,2020-12-03,2020-12-09,2020-12-08,2020-12-07,2020-12-06,2020-12-05
"Friday, 4 December 2020",2020-12-04,2020-12-04,2020-12-10,2020-12-09,2020-12-08,2020-12-07,2020-12-06,2020-12-05
"Saturday, 5 December 2020",2020-12-05,2020-12-11,2020-12-10,2020-12-09,2020-12-08,2020-12-07,2020-12-06,2020-12-05
"Sunday, 6 December 2020",2020-12-06,2020-12-11,2020-12-10,2020-12-09,2020-12-08,2020-12-07,2020-12-06,2020-12-12
"Monday, 7 December 2020",2020-12-07,2020-12-11,2020-12-10,2020-12-09,2020-12-08,2020-12-07,2020-12-13,2020-12-12
"Tuesday, 8 December 2020",2020-12-08,2020-12-11,2020-12-10,2020-12-09,2020-12-08,2020-12-14,2020-12-13,2020-12-12
"Wednesday, 9 December 2020",2020-12-09,2020-12-11,2020-12-10,2020-12-09,2020-12-15,2020-12-14,2020-12-13,2020-12-12
"Thursday, 10 December 2020",2020-12-10,2020-12-11,2020-12-10,2020-12-16,2020-12-15,2020-12-14,2020-12-13,2020-12-12
"Friday, 11 December 2020",2020-12-11,2020-12-11,2020-12-17,2020-12-16,2020-12-15,2020-12-14,2020-12-13,2020-12-12
"Saturday, 12 December 2020",2020-12-12,2020-12-18,2020-12-17,2020-12-16,2020-12-15,2020-12-14,2020-12-13,2020-12-12
"Sunday, 13 December 2020",2020-12-13,2020-12-18,2020-12-17,2020-12-16,2020-12-15,2020-12-14,2020-12-13,2020-12-19
"Monday, 14 December 2020",2020-12-14,2020-12-18,2020-12-17,2020-12-16,2020-12-15,2020-12-14,2020-12-20,2020-12-19
"Tuesday, 15 December 2020",2020-12-15,2020-12-18,2020-12-17,2020-12-16,2020-12-15,2020-12-21,2020-12-20,2020-12-19
"Wednesday, 16 December 2020",2020-12-16,2020-12-18,2020-12-17,2020-12-16,2020-12-22,2020-12-21,2020-12-20,2020-12-19
"Thursday, 17 December 2020",2020-12-17,2020-12-18,2020-12-17,2020-12-23,2020-12-22,2020-12-21,2020-12-20,2020-12-19
"Friday, 18 December 2020",2020-12-18,2020-12-18,2020-12-24,2020-12-23,2020-12-22,2020-12-21,2020-12-20,2020-12-19
"Saturday, 19 December 2020",2020-12-19,2020-12-25,2020-12-24,2020-12-23,2020-12-22,2020-12-21,2020-12-20,2020-12-19
"Sunday, 20 December 2020",2020-12-20,2020-12-25,2020-12-24,2020-12-23,2020-12-22,2020-12-21,2020-12-20,2020-12-26
"Monday, 21 December 2020",2020-12-21,2020-12-25,2020-12-24,2020-12-23,2020-12-22,2020-12-21,2020-12-27,2020-12-26
"Tuesday, 22 December 2020",2020-12-22,2020-12-25,2020-12-24,2020-12-23,2020-12-22,2020-12-28,2020-12-27,2020-12-26
"Wednesday, 23 December 2020",2020-12-23,2020-12-25,2020-12-24,2020-12-23,2020-12-29,2020-12-28,2020-12-27,2020-12-26
"Thursday, 24 December 2020",2020-12-24,2020-12-25,2020-12-24,2020-12-30,2020-12-29,2020-12-28,2020-12-27,2020-12-26
"Friday, 25 December 2020",2020-12-25,2020-12-25,2020-12-31,2020-12-30,2020-12-29,2020-12-28,2020-12-27,2020-12-26
"Saturday, 26 December 2020",2020-12-26,2021-01-01,2020-12-31,2020-12-30,2020-12-29,2020-12-28,2020-12-27,2020-12-26
"Sunday, 27 December 2020",2020-12-27,2021-01-01,2020-12-31,2020-12-30,2020-12-29,2020-12-28,2020-12-27,2021-01-02
"Monday, 28 December 2020",2020-12-28,2021-01-01,2020-12-31,2020-12-30,2020-12-29,2020-12-28,2021-01-03,2021-01-02
"Tuesday, 29 December 2020",2020-12-29,2021-01-01,2020-12-31,2020-12-30,2020-12-29,2021-01-04,2021-01-03,2021-01-02
"Wednesday, 30 December 2020",2020-12-30,2021-01-01,2020-12-31,2020-12-30,2021-01-05,2021-01-04,2021-01-03,2021-01-02
"Thursday, 31 December 2020",2020-12-31,2021-01-01,2020-12-31,2021-01-06,2021-01-05,2021-01-04,2021-01-03,2021-01-02
"Friday, 1 January 2021",2021-01-01,2021-01-01,2021-01-07,2021-01-06,2021-01-05,2021-01-04,2021-01-03,2021-01-02
"Saturday, 2 January 2021",2021-01-02,2021-01-08,2021-01-07,2021-01-06,2021-01-05,2021-01-04,2021-01-03,2021-01-02
"Sunday, 3 January 2021",2021-01-03,2021-01-08,2021-01-07,2021-01-06,2021-01-05,2021-01-04,2021-01-03,2021-01-09
"Monday, 4 January 2021",2021-01-04,2021-01-08,2021-01-07,2021-01-06,2021-01-05,2021-01-04,2021-01-10,2021-01-09
"Tuesday, 5 January 2021",2021-01-05,2021-01-08,2021-01-07,2021-01-06,2021-01-05,2021-01-11,2021-01-10,2021-01-09
"Wednesday, 6 January 2021",2021-01-06,2021-01-08,2021-01-07,2021-01-06,2021-01-12,2021-01-11,2021-01-10,2021-01-09
"Thursday, 7 January 2021",2021-01-07,2021-01-08,2021-01-07,2021-01-13,2021-01-12,2021-01-11,2021-01-10,2021-01-09
"Friday, 8 January 2021",2021-01-08,2021-01-08,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-10,
"Saturday, 9 January 2021",2021-01-09,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,,
"Sunday, 10 January 2021",2021-01-10,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,,
"Monday, 11 January 2021",2021-01-11,2021-01-15,2021-01-14,2021-01-13,2021-01-12,,,
"Tuesday, 12 January 2021",2021-01-12,2021-01-15,2021-01-14,2021-01-13,,,,
"Wednesday, 13 January 2021",2021-01-13,2021-01-15,2021-01-14,2021-01-13,,,,
"Thursday, 14 January 2021",2021-01-14,2021-01-15,2021-01-14,,,,,
"Friday, 15 January 2021",2021-01-15,2021-01-15,,,,,,
